log_n,m,k,rho,threads,commit_time,prove_time,verify_time,proof_size
27,64,2097152,0.5,32,1.913345873,2.081639549,0.009602948,1629477
28,64,4194304,0.5,1,26.285189710,7.783878611,0.018147203,1834665
28,64,4194304,0.5,1,25.542900745,7.630364072,0.020473975,1863497
28,64,4194304,0.5,1,25.894192122,7.661627502,0.018084371,1840073
28,64,4194304,0.5,1,25.567728140,7.624773354,0.018093891,1852873
28,64,4194304,0.5,1,25.977349972,7.692142786,0.022749057,1845001
28,64,4194304,0.5,32,3.940417843,5.319323447,0.012964574,1834665
28,64,4194304,0.5,32,3.859333789,5.024316392,0.010810576,1863497
28,64,4194304,0.5,32,3.842933428,4.976983806,0.012272169,1840073
28,64,4194304,0.5,32,3.856956065,4.933585489,0.010565740,1852873
28,64,4194304,0.5,32,3.857642562,4.969636419,0.010939029,1845001
29,64,8388608,0.5,1,55.121125612,16.189253230,0.020549067,2069389
29,64,8388608,0.5,1,54.968935632,16.483927279,0.020821954,2081197
29,64,8388608,0.5,1,55.090868745,16.220527842,0.020282933,2083693
29,64,8388608,0.5,1,55.100757295,16.348654237,0.020820526,2067021
29,64,8388608,0.5,1,54.858810134,16.378195122,0.019781442,2073901
29,64,8388608,0.5,32,8.228540048,12.031624517,0.012369373,2069389
29,64,8388608,0.5,32,8.354905967,12.127862967,0.010798287,2081197
29,64,8388608,0.5,32,8.300765399,11.517678899,0.011288107,2083693
29,64,8388608,0.5,32,8.397607392,11.968154136,0.010935120,2067021
29,64,8388608,0.5,32,8.367419133,12.008317455,0.013094839,2073901
30,64,16777216,0.5,1,128.881007650,50.009067677,0.022594216,2323729
30,64,16777216,0.5,1,128.710586854,49.783219393,0.024574122,2326865
30,64,16777216,0.5,1,129.571984506,48.981527106,0.028364519,2313457
30,64,16777216,0.5,1,131.195062989,42.664769213,0.022428093,2316049
30,64,16777216,0.5,1,131.289827305,66.564849288,0.031094711,2319345
30,64,16777216,0.5,32,21.579616759,26.204595788,0.010251204,2323729
30,64,16777216,0.5,32,21.224987722,26.487992905,0.010755736,2326865
30,64,16777216,0.5,32,21.234821796,23.615943650,0.012794722,2313457
30,64,16777216,0.5,32,19.146027236,24.971161590,0.009994788,2316049
30,64,16777216,0.5,32,18.589086554,23.481484155,0.014426890,2319345
