log_n,m,k,rho,threads,commit_time,prove_time,verify_time,proof_size
27,64,2097152,0.5,32,3.985785793,7.083764472,0.011470236,1884997
28,64,4194304,0.5,1,86.625752697,19.252893260,0.024971739,2103721
28,64,4194304,0.5,1,86.526530917,20.365732911,0.018801476,2079113
28,64,4194304,0.5,1,86.966851241,19.526142263,0.019524652,2089737
28,64,4194304,0.5,1,86.433987142,21.313754822,0.019029601,2089289
28,64,4194304,0.5,1,86.353588641,21.323285984,0.020775504,2088489
28,64,4194304,0.5,32,8.273936496,16.288917978,0.013435062,2103721
28,64,4194304,0.5,32,8.320977081,16.313870908,0.014429325,2079113
28,64,4194304,0.5,32,8.354353077,16.416542976,0.013840342,2089737
28,64,4194304,0.5,32,8.318673467,16.193255191,0.012807207,2089289
28,64,4194304,0.5,32,8.338526169,16.235588336,0.014363864,2088489
29,64,8388608,0.5,1,182.946821512,45.049581215,0.021173342,2324269
29,64,8388608,0.5,1,186.600230131,44.051270258,0.021195143,2314637
29,64,8388608,0.5,1,184.260167415,43.785603766,0.021657179,2321837
29,64,8388608,0.5,1,182.835766247,44.982610834,0.021163458,2314605
29,64,8388608,0.5,1,183.408281120,44.127064675,0.021058079,2310253
29,64,8388608,0.5,32,16.981407307,32.361909843,0.015430746,2324269
29,64,8388608,0.5,32,17.528786766,34.680701516,0.012920066,2314637
29,64,8388608,0.5,32,17.628397098,34.362813498,0.015057426,2321837
29,64,8388608,0.5,32,17.602784691,33.716725309,0.013299245,2314605
29,64,8388608,0.5,32,17.024395706,31.426754080,0.013599733,2310253
30,64,16777216,0.5,1,425.724963737,102.279425692,0.022558449,2570673
30,64,16777216,0.5,1,407.223783052,90.510235339,0.023476176,2558769
30,64,16777216,0.5,1,403.986933345,91.470049671,0.022631646,2580177
30,64,16777216,0.5,1,410.442846481,90.464144247,0.022613787,2568817
30,64,16777216,0.5,1,409.428825163,90.322621312,0.022600660,2567633
30,64,16777216,0.5,32,34.748203166,70.567103055,0.014253874,2570673
30,64,16777216,0.5,32,35.222571204,68.603482066,0.013226680,2558769
30,64,16777216,0.5,32,37.101587879,76.125977638,0.014684974,2580177
30,64,16777216,0.5,32,35.873960328,69.363669384,0.013083167,2568817
30,64,16777216,0.5,32,34.998048566,69.711662405,0.013061777,2567633
