log_n,m,k,rho,threads,commit_time,prove_time,verify_time,proof_size
23,1024,8192,0.5,1,0.701158622,0.168443308,0.036792195,4160791
23,1024,8192,0.5,1,0.666942345,0.126169277,0.033679213,4178747
23,1024,8192,0.5,1,0.668900260,0.126710270,0.036411596,4229351
23,1024,8192,0.5,1,0.667803396,0.127885926,0.037780148,4191327
23,1024,8192,0.5,2,0.382334050,0.129608336,0.036325714,4232647
23,1024,8192,0.5,2,0.399929164,0.124476069,0.035285671,4160791
23,1024,8192,0.5,2,0.398925611,0.123730761,0.031395661,4178747
23,1024,8192,0.5,2,0.419114635,0.145004870,0.039054957,4229351
23,1024,8192,0.5,2,0.399504614,0.125613485,0.035305880,4191327
23,1024,8192,0.5,4,0.235922327,0.128154723,0.026813056,4232647
23,1024,8192,0.5,4,0.262615101,0.123073816,0.026190901,4160791
23,1024,8192,0.5,4,0.256920331,0.122716669,0.033000448,4178747
23,1024,8192,0.5,4,0.258038285,0.187794993,0.032853574,4229351
23,1024,8192,0.5,4,0.256961581,0.124585751,0.025973306,4191327
23,1024,8192,0.5,8,0.178703703,0.127214521,0.036989469,4232647
23,1024,8192,0.5,8,0.192895170,0.121924610,0.037107352,4160791
23,1024,8192,0.5,8,0.192287686,0.121671724,0.032850564,4178747
23,1024,8192,0.5,8,0.193205777,0.178215812,0.036131200,4229351
23,1024,8192,0.5,8,0.198923528,0.123611329,0.036291483,4191327
23,1024,8192,0.5,16,0.153309711,0.127019367,0.039398405,4232647
23,1024,8192,0.5,16,0.156981004,0.121749975,0.038196387,4160791
23,1024,8192,0.5,16,0.155793048,0.121823637,0.034352298,4178747
23,1024,8192,0.5,16,0.156096385,0.173941884,0.037525462,4229351
23,1024,8192,0.5,16,0.156460243,0.123666680,0.038293580,4191327
24,1024,16384,0.5,1,1.345236052,0.334883060,0.040463429,4337423
24,1024,16384,0.5,1,1.334525236,0.284990254,0.040024749,4330736
24,1024,16384,0.5,1,1.332238353,0.251949835,0.044059272,4336239
24,1024,16384,0.5,1,1.333248636,0.250899152,0.040568741,4296103
24,1024,16384,0.5,1,1.334534486,0.251353812,0.040024479,4336656
24,1024,16384,0.5,2,0.762047859,0.248587129,0.041615835,4337423
24,1024,16384,0.5,2,0.819732084,0.273176884,0.040297195,4330736
24,1024,16384,0.5,2,0.774101126,0.246088731,0.040699975,4336239
24,1024,16384,0.5,2,0.777659178,0.279875067,0.039510217,4296103
24,1024,16384,0.5,2,0.777742809,0.245408285,0.040298365,4336656
24,1024,16384,0.5,4,0.470837312,0.245452226,0.038348101,4337423
24,1024,16384,0.5,4,0.493085243,0.240601725,0.044306137,4330736
24,1024,16384,0.5,4,0.491577308,0.242076229,0.037103792,4336239
24,1024,16384,0.5,4,0.494618418,0.276290075,0.036982009,4296103
24,1024,16384,0.5,4,0.490346880,0.240800939,0.037622644,4336656
24,1024,16384,0.5,8,0.342622658,0.244579386,0.038214028,4337423
24,1024,16384,0.5,8,0.353474497,0.238282442,0.044873880,4330736
24,1024,16384,0.5,8,0.350545090,0.240426011,0.038107205,4336239
24,1024,16384,0.5,8,0.351613105,0.240515143,0.037644884,4296103
24,1024,16384,0.5,8,0.383463196,0.241847593,0.039489547,4336656
