log_n,m,k,rho,threads,commit_time,prove_time,verify_time,proof_size
23,1024,8192,0.5,1,2.053336891,0.524034179,0.069019361,8087703
23,1024,8192,0.5,1,2.009082962,0.421300396,0.075344910,8185539
23,1024,8192,0.5,1,2.011294814,0.419730089,0.068899658,7991628
23,1024,8192,0.5,1,2.009905641,0.420612271,0.068848997,8082424
23,1024,8192,0.5,2,1.107752540,0.426085329,0.076479486,8154207
23,1024,8192,0.5,2,1.142709662,0.475796646,0.067010944,8087703
23,1024,8192,0.5,2,1.108077517,0.418047910,0.068219912,8185539
23,1024,8192,0.5,2,1.106990142,0.418042709,0.073256211,7991628
23,1024,8192,0.5,2,1.105540637,0.417616170,0.073802893,8082424
23,1024,8192,0.5,4,0.628583465,0.425320501,0.073496546,8154207
23,1024,8192,0.5,4,0.661658362,0.499538694,0.075896792,8087703
23,1024,8192,0.5,4,0.648489602,0.425449104,0.076174499,8185539
23,1024,8192,0.5,4,0.654411242,0.415361876,0.069613825,7991628
23,1024,8192,0.5,4,0.651992655,0.416247827,0.065009397,8082424
23,1024,8192,0.5,8,0.412647343,0.423287553,0.074829028,8154207
23,1024,8192,0.5,8,0.421204963,0.510376869,0.074946770,8087703
23,1024,8192,0.5,8,0.421438519,0.414773402,0.066338759,8185539
23,1024,8192,0.5,8,0.426437177,0.414080276,0.071469828,7991628
23,1024,8192,0.5,8,0.422742469,0.414623379,0.064839452,8082424
23,1024,8192,0.5,16,0.314264532,0.424102451,0.075914993,8154207
23,1024,8192,0.5,16,0.316127955,0.513699417,0.065009397,8087703
23,1024,8192,0.5,16,0.308212540,0.415235663,0.072436382,8185539
23,1024,8192,0.5,16,0.316784961,0.415190072,0.075317319,7991628
23,1024,8192,0.5,16,0.313538525,0.416956604,0.072416301,8082424
24,1024,16384,0.5,1,4.312392783,0.934957181,0.070619039,8249155
24,1024,16384,0.5,1,4.245140575,0.859406927,0.071464678,8309003
24,1024,16384,0.5,1,4.154963416,0.831177684,0.075091224,8171516
24,1024,16384,0.5,1,4.158208862,0.831467161,0.074816927,8282183
24,1024,16384,0.5,1,4.155036728,0.831274516,0.070898735,8342159
24,1024,16384,0.5,2,2.308845802,0.932570676,0.077152372,8249155
24,1024,16384,0.5,2,2.271919605,0.974893719,0.076676670,8309003
24,1024,16384,0.5,2,2.264267305,0.825950701,0.073894866,8171516
24,1024,16384,0.5,2,2.265950166,0.826310220,0.076489076,8282183
24,1024,16384,0.5,2,2.266083208,0.836278203,0.077753687,8342159
24,1024,16384,0.5,4,1.298992432,0.860857380,0.071395257,8249155
24,1024,16384,0.5,4,1.330435491,0.894164773,0.071150251,8309003
24,1024,16384,0.5,4,1.389797255,0.823435711,0.071807006,8171516
24,1024,16384,0.5,4,1.324174364,0.824160179,0.072413231,8282183
24,1024,16384,0.5,4,1.318489990,0.824230250,0.075969305,8342159
24,1024,16384,0.5,8,0.846853962,0.862867947,0.074226813,8249155
24,1024,16384,0.5,8,0.865770416,0.846974663,0.077424486,8309003
24,1024,16384,0.5,8,0.926899276,0.820767546,0.075263646,8171516
24,1024,16384,0.5,8,0.854261743,0.822180630,0.075423220,8282183
24,1024,16384,0.5,8,0.861439931,0.822607000,0.076652578,8342159
24,1024,16384,0.5,16,0.620128049,0.861789709,0.075528002,8249155
24,1024,16384,0.5,16,0.613081904,0.921492480,0.071895937,8309003
24,1024,16384,0.5,16,0.646478957,0.890617415,0.070790170,8171516
24,1024,16384,0.5,16,0.616852553,0.827700449,0.070193107,8282183
24,1024,16384,0.5,16,0.620184820,0.828079188,0.071912657,8342159
25,1024,32768,0.5,1,8.923354007,1.857477529,0.056122247,8380587
25,1024,32768,0.5,1,8.875380461,1.749816133,0.056801513,8445747
25,1024,32768,0.5,1,8.688231861,1.750759215,0.053476895,8346343
25,1024,32768,0.5,2,4.796738809,1.812800982,0.073713470,8380587
25,1024,32768,0.5,2,4.816847401,1.796226312,0.074842556,8445747
25,1024,32768,0.5,2,4.825307289,1.668163508,0.070259888,8346343
25,1024,32768,0.5,4,2.690852461,1.926872787,0.071865166,8380587
25,1024,32768,0.5,4,2.822534991,1.837093791,0.073110155,8445747
25,1024,32768,0.5,4,2.769989768,1.883233144,0.069411479,8346343
25,1024,32768,0.5,8,1.675263825,1.789243208,0.075647405,8380587
25,1024,32768,0.5,8,1.763857534,1.917005836,0.076583948,8445747
25,1024,32768,0.5,8,1.696820330,1.802640243,0.073418292,8346343
25,1024,32768,0.5,16,1.199175795,1.748929373,0.076607037,8380587
25,1024,32768,0.5,16,1.204893469,1.728949734,0.078341488,8445747
25,1024,32768,0.5,16,1.207440379,1.633131606,0.071636400,8346343
26,1024,65536,0.5,1,18.526159993,4.055423587,0.056750211,8495888
26,1024,65536,0.5,1,18.576245429,3.480543320,0.055329008,8536787
26,1024,65536,0.5,1,18.390626404,3.476756430,0.055628455,8564631
26,1024,65536,0.5,2,10.101766274,3.429635145,0.067577465,8495888
26,1024,65536,0.5,2,9.922665452,3.486571880,0.053166118,8536787
26,1024,65536,0.5,2,9.847280174,3.461215865,0.053141857,8564631
26,1024,65536,0.5,4,5.849332094,4.189733468,0.066895200,8495888
26,1024,65536,0.5,4,5.720568964,3.634836350,0.071275881,8536787
26,1024,65536,0.5,4,5.464122228,3.266958819,0.065696221,8564631
26,1024,65536,0.5,8,3.502192177,3.774899875,0.071611350,8495888
26,1024,65536,0.5,8,3.582911271,3.846968176,0.070691499,8536787
26,1024,65536,0.5,8,3.508994417,3.362527121,0.069827158,8564631
26,1024,65536,0.5,16,2.522081783,3.391824428,0.076107056,8495888
26,1024,65536,0.5,16,2.460403114,3.353348764,0.070958084,8536787
26,1024,65536,0.5,16,2.418714897,3.340402932,0.070364850,8564631
27,1024,131072,0.5,1,38.680982619,7.545507970,0.059320882,8675287
27,1024,131072,0.5,1,38.455188713,6.699720856,0.064489423,8703227
27,1024,131072,0.5,1,37.569420380,6.998716341,0.061742169,8665496
27,1024,131072,0.5,2,20.616470956,7.454837143,0.055968053,8675287
27,1024,131072,0.5,2,20.365833666,7.068959679,0.053339342,8703227
27,1024,131072,0.5,2,20.303863021,6.810137985,0.053141870,8665496
