log_n,m,k,rho,threads,commit_time,prove_time,verify_time,proof_size
23,1024,8192,0.5,1,0.736637532,0.166618932,0.042925807,4178523
23,1024,8192,0.5,1,0.702121968,0.132037466,0.047684446,4212643
23,1024,8192,0.5,1,0.704041012,0.128433553,0.029482999,4193951
23,1024,8192,0.5,1,0.699237811,0.128720661,0.040728337,4232455
23,1024,8192,0.5,2,0.402480196,0.129923788,0.040523862,4181179
23,1024,8192,0.5,2,0.416800725,0.125334713,0.030708586,4178523
23,1024,8192,0.5,2,0.418062355,0.194133125,0.045534607,4212643
23,1024,8192,0.5,2,0.416631612,0.124931443,0.028052576,4193951
23,1024,8192,0.5,2,0.403719065,0.124546215,0.028246659,4232455
23,1024,8192,0.5,4,0.243874628,0.128417753,0.042871106,4181179
23,1024,8192,0.5,4,0.271802911,0.123162603,0.028793352,4178523
23,1024,8192,0.5,4,0.264162095,0.125194949,0.029622352,4212643
23,1024,8192,0.5,4,0.272824535,0.186883798,0.041413453,4193951
23,1024,8192,0.5,4,0.265840764,0.123107151,0.026940280,4232455
23,1024,8192,0.5,8,0.184078153,0.128498536,0.042435096,4181179
23,1024,8192,0.5,8,0.197029951,0.124118635,0.042519398,4178523
23,1024,8192,0.5,8,0.197625505,0.124756009,0.042874246,4212643
23,1024,8192,0.5,8,0.199278073,0.191354211,0.041655218,4193951
23,1024,8192,0.5,8,0.197658066,0.122630780,0.040636235,4232455
23,1024,8192,0.5,16,0.155427354,0.127982343,0.044625397,4181179
23,1024,8192,0.5,16,0.160781778,0.122127619,0.044743100,4178523
23,1024,8192,0.5,16,0.159624311,0.124913343,0.045243791,4212643
23,1024,8192,0.5,16,0.160934451,0.185057946,0.043906270,4193951
23,1024,8192,0.5,16,0.159557709,0.122065327,0.042218571,4232455
24,1024,16384,0.5,1,1.448803530,0.328285261,0.045696581,4318444
24,1024,16384,0.5,1,1.427215394,0.287462921,0.045033836,4315275
24,1024,16384,0.5,1,1.410520400,0.253778267,0.043777007,4262911
24,1024,16384,0.5,1,1.426310503,0.253330796,0.044738439,4313835
24,1024,16384,0.5,1,1.411393040,0.253960221,0.044673387,4332464
24,1024,16384,0.5,2,0.796570990,0.253702025,0.046965810,4318444
24,1024,16384,0.5,2,0.867938071,0.262048657,0.045699381,4315275
24,1024,16384,0.5,2,0.814488183,0.248336642,0.045606259,4262911
24,1024,16384,0.5,2,0.807248136,0.245662070,0.045862024,4313835
24,1024,16384,0.5,2,0.811914293,0.247818859,0.046004928,4332464
24,1024,16384,0.5,4,0.490263966,0.248421783,0.043669925,4318444
24,1024,16384,0.5,4,0.516559650,0.253620543,0.042376125,4315275
24,1024,16384,0.5,4,0.516101900,0.241270848,0.041230448,4262911
24,1024,16384,0.5,4,0.520227914,0.241942254,0.042723003,4313835
24,1024,16384,0.5,4,0.538473594,0.243318026,0.043111982,4332464
24,1024,16384,0.5,8,0.356300605,0.244744169,0.043690795,4318444
24,1024,16384,0.5,8,0.361467923,0.255263280,0.042532888,4315275
24,1024,16384,0.5,8,0.363915440,0.240968212,0.042085177,4262911
24,1024,16384,0.5,8,0.371459633,0.240241936,0.042523749,4313835
24,1024,16384,0.5,8,0.374042133,0.241479254,0.043263815,4332464
24,1024,16384,0.5,16,0.288868463,0.244888753,0.042862675,4318444
24,1024,16384,0.5,16,0.301221048,0.251274128,0.043030440,4315275
24,1024,16384,0.5,16,0.295333802,0.239600511,0.042637590,4262911
24,1024,16384,0.5,16,0.302269092,0.239996439,0.043148323,4313835
24,1024,16384,0.5,16,0.310990093,0.240972202,0.042993159,4332464
25,1024,32768,0.5,1,2.998191974,0.545794433,0.041299479,4425135
25,1024,32768,0.5,1,2.859619527,0.505449045,0.033998521,4428079
25,1024,32768,0.5,1,2.862307379,0.502642070,0.034024323,4435603
25,1024,32768,0.5,2,1.658236787,0.563542671,0.047569214,4425135
25,1024,32768,0.5,2,1.732660989,0.505126457,0.046687414,4428079
25,1024,32768,0.5,2,1.639285591,0.488114566,0.046407617,4435603
25,1024,32768,0.5,4,0.986803475,0.486784056,0.044638786,4425135
25,1024,32768,0.5,4,1.009690391,0.480770627,0.042590830,4428079
25,1024,32768,0.5,4,1.050453489,0.481652947,0.043950991,4435603
25,1024,32768,0.5,8,0.692438156,0.483491570,0.046831797,4425135
25,1024,32768,0.5,8,0.717611104,0.476939838,0.044843742,4428079
25,1024,32768,0.5,8,0.710182903,0.474006022,0.046059259,4435603
25,1024,32768,0.5,16,0.584013722,0.478436524,0.046751596,4425135
25,1024,32768,0.5,16,0.577811399,0.473175882,0.045620119,4428079
25,1024,32768,0.5,16,0.572141318,0.469934118,0.044935374,4435603
26,1024,65536,0.5,1,6.180263368,1.090380377,0.039107999,4566199
26,1024,65536,0.5,1,6.106698205,1.145742861,0.040318717,4555639
26,1024,65536,0.5,1,5.911181999,1.096229452,0.038829423,4556375
26,1024,65536,0.5,2,3.408843319,0.997967612,0.033958340,4566199
26,1024,65536,0.5,2,3.287864096,1.068632147,0.032418575,4555639
26,1024,65536,0.5,2,3.261629212,0.969065207,0.033123211,4556375
26,1024,65536,0.5,4,2.014445229,1.059949547,0.036982281,4566199
26,1024,65536,0.5,4,2.028224627,0.947579453,0.041209707,4555639
26,1024,65536,0.5,4,2.030216622,0.953197732,0.030520872,4556375
26,1024,65536,0.5,8,1.389755833,1.055288210,0.045211810,4566199
26,1024,65536,0.5,8,1.404771298,1.006981199,0.043468020,4555639
26,1024,65536,0.5,8,1.391828770,0.943334355,0.043650944,4556375
26,1024,65536,0.5,16,1.106635440,1.053416896,0.047841390,4566199
26,1024,65536,0.5,16,1.114809939,1.007974131,0.043816038,4555639
26,1024,65536,0.5,16,1.107175764,0.939778333,0.044106845,4556375
27,1024,131072,0.5,1,12.649917430,2.235056743,0.050305487,4691611
27,1024,131072,0.5,1,12.533149705,2.131966592,0.049770984,4700059
27,1024,131072,0.5,1,12.184195569,2.292957935,0.050654815,4700347
27,1024,131072,0.5,2,7.271546815,2.738121683,0.037356660,4691611
27,1024,131072,0.5,2,7.260688646,2.200704863,0.033908630,4700059
27,1024,131072,0.5,2,6.650325858,2.013501158,0.037151344,4700347
27,1024,131072,0.5,4,4.242083662,2.975349739,0.032594060,4691611
27,1024,131072,0.5,4,4.205751046,2.104412249,0.031998186,4700059
27,1024,131072,0.5,4,4.072575423,2.212302680,0.034113825,4700347
27,1024,131072,0.5,8,2.860629080,2.017950530,0.031813051,4691611
27,1024,131072,0.5,8,3.248122632,2.397715564,0.031116956,4700059
27,1024,131072,0.5,8,3.102972467,2.150482818,0.030873110,4700347
27,1024,131072,0.5,16,2.398792920,2.070040808,0.041268159,4691611
27,1024,131072,0.5,16,2.312810993,1.933460336,0.044173866,4700059
27,1024,131072,0.5,16,2.236160589,1.867168151,0.044295209,4700347
28,1024,262144,0.5,1,24.994943437,5.242541736,0.053408488,4845055
28,1024,262144,0.5,2,13.833335244,4.530555468,0.045799604,4845055
