goldilocks-quadratic keccak256 log_n=24 threads=16: exact parameters PASS; estimated bytes coefficients=134217728 matrix=268435456 trees=4193696 scratch=349452800 peak_with_overhead=978929032; available_memory_bytes=Some(527705153536) available_cpus=Some(256) repetitions=5 time_limit_seconds=None
goldilocks-quadratic keccak256 log_n=25 threads=1: exact parameters PASS; estimated bytes coefficients=268435456 matrix=536870912 trees=8387968 scratch=593651456 peak_with_overhead=1792736672; available_memory_bytes=Some(527705153536) available_cpus=Some(256) repetitions=3 time_limit_seconds=None
goldilocks-quadratic keccak256 log_n=25 threads=2: exact parameters PASS; estimated bytes coefficients=268435456 matrix=536870912 trees=8387968 scratch=595748608 peak_with_overhead=1795358112; available_memory_bytes=Some(527705153536) available_cpus=Some(256) repetitions=3 time_limit_seconds=None
goldilocks-quadratic keccak256 log_n=25 threads=4: exact parameters PASS; estimated bytes coefficients=268435456 matrix=536870912 trees=8387968 scratch=599942912 peak_with_overhead=1800600992; available_memory_bytes=Some(527705153536) available_cpus=Some(256) repetitions=3 time_limit_seconds=None
goldilocks-quadratic keccak256 log_n=25 threads=8: exact parameters PASS; estimated bytes coefficients=268435456 matrix=536870912 trees=8387968 scratch=608331520 peak_with_overhead=1811086752; available_memory_bytes=Some(527705153536) available_cpus=Some(256) repetitions=3 time_limit_seconds=None
goldilocks-quadratic keccak256 log_n=25 threads=16: exact parameters PASS; estimated bytes coefficients=268435456 matrix=536870912 trees=8387968 scratch=625108736 peak_with_overhead=1832058272; available_memory_bytes=Some(527705153536) available_cpus=Some(256) repetitions=3 time_limit_seconds=None
goldilocks-quadratic keccak256 log_n=26 threads=1: exact parameters PASS; estimated bytes coefficients=536870912 matrix=1073741824 trees=16776544 scratch=1142386688 peak_with_overhead=3495774392; available_memory_bytes=Some(527705153536) available_cpus=Some(256) repetitions=3 time_limit_seconds=None
goldilocks-quadratic keccak256 log_n=26 threads=2: exact parameters PASS; estimated bytes coefficients=536870912 matrix=1073741824 trees=16776544 scratch=1144483840 peak_with_overhead=3498395832; available_memory_bytes=Some(527705153536) available_cpus=Some(256) repetitions=3 time_limit_seconds=None
goldilocks-quadratic keccak256 log_n=26 threads=4: exact parameters PASS; estimated bytes coefficients=536870912 matrix=1073741824 trees=16776544 scratch=1148678144 peak_with_overhead=3503638712; available_memory_bytes=Some(527705153536) available_cpus=Some(256) repetitions=3 time_limit_seconds=None
goldilocks-quadratic keccak256 log_n=26 threads=8: exact parameters PASS; estimated bytes coefficients=536870912 matrix=1073741824 trees=16776544 scratch=1157066752 peak_with_overhead=3514124472; available_memory_bytes=Some(527705153536) available_cpus=Some(256) repetitions=3 time_limit_seconds=None
goldilocks-quadratic keccak256 log_n=26 threads=16: exact parameters PASS; estimated bytes coefficients=536870912 matrix=1073741824 trees=16776544 scratch=1173843968 peak_with_overhead=3535095992; available_memory_bytes=Some(527705153536) available_cpus=Some(256) repetitions=3 time_limit_seconds=None
goldilocks-quadratic keccak256 log_n=27 threads=1: exact parameters PASS; estimated bytes coefficients=1073741824 matrix=2147483648 trees=33553728 scratch=2237093120 peak_with_overhead=6898394832; available_memory_bytes=Some(527705153536) available_cpus=Some(256) repetitions=3 time_limit_seconds=None
